Customer_ID,Name,Email
1,George Johnson,diana.garcia@gmail.com
2,Diana Williams,fay.johnson@yahoo.com
3,Ivan Davis,bob.martinez@gmail.com
4,Diana Williams,bob.williams@yahoo.com
5,Jane Anderson,alice.williams@yahoo.com
6,George Martinez,evan.garcia@outlook.com
7,Bob Williams,ivan.davis@outlook.com
8,Evan Jones,hannah.williams@gmail.com
9,Ivan Smith,fay.jones@yahoo.com
10,Jane Johnson,ivan.williams@outlook.com
11,Jane Anderson,diana.anderson@yahoo.com
12,Alice Jones,george.anderson@gmail.com
13,Jane Garcia,ivan.jones@outlook.com
14,Alice Williams,jane.smith@outlook.com
15,Bob Miller,ivan.johnson@gmail.com
16,Fay Smith,fay.miller@yahoo.com
17,Jane Williams,alice.martinez@outlook.com
18,Ivan Brown,bob.brown@yahoo.com
19,Ivan Smith,jane.martinez@outlook.com
20,Diana Anderson,bob.miller@outlook.com
21,Bob Miller,alice.anderson@yahoo.com
22,Charlie Smith,charlie.jones@yahoo.com
23,Jane Johnson,alice.miller@outlook.com
24,Fay Brown,ivan.garcia@gmail.com
25,Diana Miller,fay.williams@outlook.com
26,Ivan Johnson,diana.martinez@outlook.com
27,Alice Anderson,alice.brown@gmail.com
28,Charlie Garcia,charlie.smith@outlook.com
29,Bob Davis,fay.anderson@gmail.com
30,George Williams,jane.garcia@outlook.com
31,Alice Anderson,alice.davis@outlook.com
32,Bob Anderson,charlie.smith@yahoo.com
33,Charlie Miller,bob.brown@yahoo.com
34,Alice Brown,diana.jones@outlook.com
35,Alice Brown,george.williams@outlook.com
36,Charlie Miller,fay.brown@gmail.com
37,Bob Smith,evan.garcia@yahoo.com
38,Charlie Williams,bob.garcia@yahoo.com
39,George Davis,george.miller@outlook.com
40,Hannah Davis,bob.brown@gmail.com
41,Hannah Anderson,diana.davis@outlook.com
42,Ivan Miller,charlie.davis@gmail.com
43,Jane Anderson,george.johnson@yahoo.com
44,Diana Johnson,diana.brown@outlook.com
45,Bob Jones,alice.garcia@outlook.com
46,Charlie Jones,alice.johnson@gmail.com
47,Charlie Johnson,george.anderson@gmail.com
48,George Johnson,evan.davis@yahoo.com
49,Bob Garcia,george.miller@outlook.com
50,Diana Garcia,ivan.williams@gmail.com
